,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PROFIT,CUMSUM
25,10417,66,100.0,2,7516.08,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,-1246.08,138018.5
170,10211,41,100.0,2,7498.9,1/15/2004 0:00,Shipped,1,1,2004,Classic Cars,194,S12_1099,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Large,455.10000000000036,521832.3
839,10205,40,100.0,3,7492.4,2003-03-12 00:00:00,Shipped,4,12,2003,Vintage Cars,168,S18_2795,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,-772.3999999999996,165802.95
642,10301,47,100.0,7,7488.04,2003-05-10 00:00:00,Shipped,4,10,2003,Classic Cars,142,S18_1984,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,Large,-814.04,529320.34
560,10198,42,100.0,4,7483.98,11/27/2003 0:00,Shipped,4,11,2003,Planes,157,S18_1662,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,Large,-889.9799999999996,43294.23
192,10176,33,100.0,2,7474.5,2003-06-11 00:00:00,Shipped,4,11,2003,Classic Cars,207,S12_1108,L'ordine Souveniers,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Large,-643.5,536794.84
673,10336,49,100.0,6,7460.74,11/20/2004 0:00,Shipped,4,11,2004,Classic Cars,163,S18_2238,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,Large,526.2600000000002,544255.58
1046,10305,37,100.0,9,7455.87,10/13/2004 0:00,Shipped,4,10,2004,Classic Cars,169,S18_3232,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Large,-1202.87,551711.45
633,10192,47,100.0,10,7421.3,11/20/2003 0:00,Shipped,4,11,2003,Classic Cars,142,S18_1984,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Large,-747.3000000000002,559132.75
1164,10390,50,100.0,1,7397.0,2005-04-03 00:00:00,Shipped,1,3,2005,Classic Cars,146,S18_3482,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large,-97.0,566529.75
1054,10349,48,100.0,6,7396.8,2004-01-12 00:00:00,Shipped,4,12,2004,Classic Cars,169,S18_3232,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Large,715.1999999999998,573926.55
654,10115,46,100.0,4,7381.16,2003-04-04 00:00:00,Shipped,2,4,2003,Classic Cars,163,S18_2238,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Large,116.84000000000015,581307.71
660,10184,46,100.0,5,7381.16,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,163,S18_2238,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,Large,116.84000000000015,588688.87
568,10307,39,100.0,1,7379.97,10/14/2004 0:00,Shipped,4,10,2004,Planes,157,S18_1662,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Large,-1256.9700000000003,50674.2
29,10140,37,100.0,11,7374.1,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Large,543.8999999999996,596062.97
268,10127,46,100.0,3,7366.44,2003-03-06 00:00:00,Shipped,2,6,2003,Classic Cars,151,S12_3148,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Large,-420.4399999999996,603429.41
1175,10226,46,100.0,6,7343.9,2/26/2004 0:00,Shipped,1,2,2004,Classic Cars,141,S18_3685,Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,Large,-857.8999999999996,610773.31
28,10126,38,100.0,11,7329.06,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,802.9399999999996,618102.37
1283,10332,50,100.0,2,7310.0,11/17/2004 0:00,Shipped,4,11,2004,Vintage Cars,92,S18_4409,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Large,-2710.0,173112.95
592,10302,43,100.0,1,7310.0,2003-06-10 00:00:00,Shipped,4,10,2003,Vintage Cars,170,S18_1749,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,0.0,180422.95
1239,10400,58,100.0,6,7307.42,2005-01-04 00:00:00,Shipped,2,4,2005,Vintage Cars,105,S18_3856,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,Large,-1217.42,187730.37
664,10230,49,100.0,8,7300.51,3/15/2004 0:00,Shipped,1,3,2004,Classic Cars,163,S18_2238,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Large,686.4899999999998,625402.88
34,10194,42,100.0,11,7290.36,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,1697.6400000000003,632693.24
1058,10377,39,100.0,3,7264.53,2005-09-02 00:00:00,Shipped,1,2,2005,Classic Cars,169,S18_3232,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Large,-673.5299999999997,639957.77
1252,10230,42,100.0,3,7238.28,3/15/2004 0:00,Shipped,1,3,2004,Classic Cars,143,S18_4027,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Large,-1232.2799999999997,647196.05
324,10196,38,100.0,4,7232.16,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars,173,S12_3891,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Large,-658.1599999999999,654428.21
835,10162,48,100.0,3,7209.12,10/18/2003 0:00,Shipped,4,10,2003,Vintage Cars,168,S18_2795,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Large,854.8800000000001,194939.49
27,10112,29,100.0,1,7209.11,3/24/2003 0:00,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,-1003.1099999999997,661637.32
106,10105,50,100.0,2,7208.0,2003-11-02 00:00:00,Shipped,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,-408.0,668845.32
672,10324,47,100.0,8,7207.45,2004-05-11 00:00:00,Shipped,4,11,2004,Classic Cars,163,S18_2238,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large,453.5500000000002,676052.77
1714,10407,76,94.5,6,7182.0,4/22/2005 0:00,On Hold,2,4,2005,Classic Cars,90,S24_2766,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,Large,-342.0,683234.77
447,10424,54,100.0,5,7182.0,5/31/2005 0:00,In Process,2,5,2005,Trucks and Buses,116,S18_1097,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,-918.0,49173.06
196,10220,32,100.0,2,7181.44,2004-12-02 00:00:00,Shipped,1,2,2004,Classic Cars,207,S12_1108,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean,Large,-557.4399999999996,690416.21
651,10406,48,100.0,2,7169.28,4/15/2005 0:00,Disputed,2,4,2005,Classic Cars,142,S18_1984,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,-353.27999999999975,697585.49
2662,10388,50,100.0,3,7154.5,2005-03-03 00:00:00,Shipped,1,3,2005,Planes,118,S700_2834,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Large,-1254.5,57828.7
655,10127,45,100.0,10,7146.9,2003-03-06 00:00:00,Shipped,2,6,2003,Classic Cars,163,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Large,188.10000000000036,704732.39
1256,10292,44,100.0,2,7140.76,2004-08-09 00:00:00,Shipped,3,9,2004,Classic Cars,143,S18_4027,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Large,-848.7600000000002,711873.15
42,10291,37,100.0,11,7136.19,2004-08-09 00:00:00,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,781.8100000000004,719009.34
1036,10246,36,100.0,9,7132.68,2004-05-05 00:00:00,Shipped,2,5,2004,Classic Cars,169,S18_3232,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,-1048.6800000000003,726142.02
2656,10318,50,100.0,8,7119.0,2004-02-11 00:00:00,Shipped,4,11,2004,Planes,118,S700_2834,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Large,-1219.0,64947.7
657,10151,43,100.0,2,7110.91,9/21/2003 0:00,Shipped,3,9,2003,Classic Cars,163,S18_2238,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Large,-101.90999999999985,733252.93
1363,10348,29,100.0,6,7110.8,2004-01-11 00:00:00,Shipped,4,11,2004,Vintage Cars,50,S18_4668,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,-5660.8,202050.29
2689,10401,77,92.0,9,7084.0,2005-03-04 00:00:00,On Hold,2,4,2005,Planes,80,S700_3167,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large,-924.0,72031.7
1035,10239,47,100.0,1,7083.37,2004-12-04 00:00:00,Shipped,2,4,2004,Classic Cars,169,S18_3232,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Large,859.6300000000001,740336.3
1317,10126,50,100.0,5,7083.0,5/28/2003 0:00,Shipped,2,5,2003,Trucks and Buses,121,S18_4600,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,-1033.0,56256.06
92,10251,43,100.0,4,7078.23,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large,1220.7700000000004,145096.73
200,10282,41,100.0,5,7071.27,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large,1415.7299999999996,747407.57
662,10207,44,100.0,6,7060.24,2003-09-12 00:00:00,Shipped,4,12,2003,Classic Cars,163,S18_2238,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,Large,111.76000000000022,754467.81
550,10407,59,100.0,11,7048.14,4/22/2005 0:00,On Hold,2,4,2005,Classic Cars,124,S18_1589,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,Large,267.8599999999997,761515.95
320,10153,49,100.0,10,7036.89,9/28/2003 0:00,Shipped,3,9,2003,Classic Cars,173,S12_3891,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,1440.1099999999997,768552.84
1263,10372,48,100.0,6,7031.52,1/26/2005 0:00,Shipped,1,1,2005,Classic Cars,143,S18_4027,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,-167.52000000000044,775584.36
82,10134,31,100.0,4,7023.98,2003-01-07 00:00:00,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,-1040.9799999999996,152120.71
91,10237,39,100.0,9,7023.9,2004-05-04 00:00:00,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large,503.10000000000036,159144.61
148,10281,44,100.0,9,7020.64,8/19/2004 0:00,Shipped,3,8,2004,Classic Cars,147,S10_4962,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Large,-552.6400000000003,782605.0
143,10217,48,100.0,4,7020.48,2004-04-02 00:00:00,Shipped,1,2,2004,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Large,35.52000000000044,789625.48
738,10227,46,100.0,7,7017.76,2004-02-03 00:00:00,Shipped,1,3,2004,Vintage Cars,127,S18_2325,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,-1175.7600000000002,209068.05
277,10230,43,100.0,1,7016.31,3/15/2004 0:00,Shipped,1,3,2004,Classic Cars,151,S12_3148,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Large,-523.3100000000004,796641.79
1978,10203,47,100.0,3,6996.42,2003-02-12 00:00:00,Shipped,4,12,2003,Classic Cars,140,S24_3856,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,-416.4200000000001,803638.21
827,10389,39,100.0,5,6981.0,2005-03-03 00:00:00,Shipped,1,3,2005,Motorcycles,60,S18_2625,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,-4641.0,166125.61
1602,10248,48,100.0,10,6960.48,2004-07-05 00:00:00,Cancelled,2,5,2004,Ships,122,S24_2011,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,-1104.4799999999996,6960.48
562,10222,49,100.0,4,6954.08,2/19/2004 0:00,Shipped,1,2,2004,Planes,157,S18_1662,Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,Medium,738.9200000000001,78985.78
327,10231,49,100.0,1,6952.12,3/19/2004 0:00,Shipped,1,3,2004,Classic Cars,173,S12_3891,CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA,Fernandez,Jesus,Medium,1524.88,810590.33
1979,10212,49,100.0,13,6949.67,1/16/2004 0:00,Shipped,1,1,2004,Classic Cars,140,S24_3856,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,-89.67000000000007,817540.0
178,10310,33,100.0,10,6934.62,10/16/2004 0:00,Shipped,4,10,2004,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium,-532.6199999999999,824474.62
993,10166,43,100.0,2,6930.74,10/21/2003 0:00,Shipped,4,10,2003,Vintage Cars,136,S18_3140,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium,-1082.7399999999998,215998.79
553,10119,43,100.0,3,6916.12,4/28/2003 0:00,Shipped,2,4,2003,Planes,157,S18_1662,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,-165.1199999999999,85901.9
333,10314,36,100.0,4,6913.8,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,173,S12_3891,Heintze Collectables,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium,-685.8000000000002,831388.42
94,10275,36,100.0,3,6901.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,46.07999999999993,173027.53
1266,10413,49,100.0,5,6896.75,2005-05-05 00:00:00,Shipped,2,5,2005,Classic Cars,143,S18_4027,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium,110.25,838285.17
996,10196,49,100.0,1,6893.81,11/26/2003 0:00,Shipped,4,11,2003,Vintage Cars,136,S18_3140,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium,-229.8100000000004,222892.6
179,10320,31,100.0,3,6876.11,2004-03-11 00:00:00,Shipped,4,11,2004,Classic Cars,194,S12_1099,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium,-862.1099999999997,845161.28
1059,10383,47,100.0,6,6869.05,2/22/2005 0:00,Shipped,1,2,2005,Classic Cars,169,S18_3232,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,1073.9499999999998,852030.33
255,10285,49,100.0,5,6863.92,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,150,S12_2823,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,486.0799999999999,179891.45
1392,10390,49,100.0,3,6862.94,2005-04-03 00:00:00,Shipped,1,3,2005,Classic Cars,148,S18_4721,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,389.0600000000004,858893.27
867,10241,44,100.0,12,6853.44,4/13/2004 0:00,Shipped,2,4,2004,Classic Cars,132,S18_2870,Mini Caravy,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,Medium,-1045.4399999999996,865746.71
2094,10358,41,100.0,6,6847.0,2004-10-12 00:00:00,Shipped,4,12,2004,Vintage Cars,97,S24_4258,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,-2870.0,229739.6
774,10347,50,100.0,8,6834.5,11/29/2004 0:00,Shipped,4,11,2004,Trucks and Buses,60,S18_2432,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,-3834.5,63090.56
1361,10324,38,100.0,6,6832.02,2004-05-11 00:00:00,Shipped,4,11,2004,Vintage Cars,50,S18_4668,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Medium,-4932.02,236571.62
372,10165,48,100.0,12,6825.6,10/22/2003 0:00,Shipped,4,10,2003,Trucks and Buses,118,S12_4473,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,-1161.6000000000004,69916.16
1650,10207,46,100.0,12,6819.04,2003-09-12 00:00:00,Shipped,4,12,2003,Trucks and Buses,127,S24_2300,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,Medium,-977.04,76735.2
218,10174,43,100.0,1,6817.22,2003-06-11 00:00:00,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,-969.2200000000003,83552.42
1600,10221,49,100.0,1,6804.63,2/18/2004 0:00,Shipped,1,2,2004,Ships,122,S24_2011,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Medium,-826.6300000000001,13765.11
2300,10382,48,100.0,8,6799.68,2/17/2005 0:00,Shipped,1,2,2005,Trucks and Buses,64,S32_3522,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,-3727.6800000000003,90352.1
1037,10253,40,100.0,6,6773.6,2004-01-06 00:00:00,Cancelled,2,6,2004,Classic Cars,169,S18_3232,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,-13.600000000000364,872520.31
1335,10334,49,100.0,4,6763.47,11/19/2004 0:00,On Hold,4,11,2004,Trucks and Buses,121,S18_4600,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium,-834.4700000000003,97115.57
1994,10390,45,100.0,8,6763.05,2005-04-03 00:00:00,Shipped,1,3,2005,Classic Cars,140,S24_3856,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,-463.0500000000002,879283.36
1155,10287,40,100.0,14,6761.6,8/30/2004 0:00,Shipped,3,8,2004,Classic Cars,146,S18_3482,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium,-921.6000000000004,886044.96
1253,10247,48,100.0,5,6756.0,2004-05-05 00:00:00,Shipped,2,5,2004,Classic Cars,143,S18_4027,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium,108.0,892800.96
1152,10252,41,100.0,1,6749.83,5/26/2004 0:00,Shipped,2,5,2004,Classic Cars,146,S18_3482,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,-763.8299999999999,899550.79
246,10180,40,100.0,8,6747.6,2003-11-11 00:00:00,Shipped,4,11,2003,Motorcycles,150,S12_2823,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium,-747.6000000000004,186639.05
565,10274,41,100.0,1,6724.0,7/21/2004 0:00,Shipped,3,7,2004,Planes,157,S18_1662,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium,-287.0,92625.9
674,10349,38,100.0,8,6719.54,2004-01-12 00:00:00,Shipped,4,12,2004,Classic Cars,163,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Medium,-525.54,906270.33
678,10412,41,100.0,4,6712.93,2005-03-05 00:00:00,Shipped,2,5,2005,Classic Cars,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,-29.93000000000029,912983.26
1002,10282,43,100.0,1,6695.53,8/20/2004 0:00,Shipped,3,8,2004,Vintage Cars,136,S18_3140,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,-847.5299999999997,243267.15
96,10299,29,100.0,11,6683.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,-1086.3400000000001,193322.39
150,10305,38,100.0,13,6680.78,10/13/2004 0:00,Shipped,4,10,2004,Classic Cars,147,S10_4962,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,-1094.7799999999997,919664.04
151,10313,40,100.0,7,6678.0,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,147,S10_4962,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Medium,-798.0,926342.04
225,10258,41,100.0,3,6668.24,6/15/2004 0:00,Shipped,2,6,2004,Trucks and Buses,136,S12_1666,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium,-1092.2399999999998,103783.81
1324,10207,47,100.0,16,6658.02,2003-09-12 00:00:00,Shipped,4,12,2003,Trucks and Buses,121,S18_4600,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,Medium,-971.0200000000004,110441.83
2192,10363,50,100.0,2,6576.5,2005-06-01 00:00:00,Shipped,1,1,2005,Motorcycles,99,S32_1374,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium,-1626.5,199898.89
202,10306,31,100.0,13,6570.76,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars,207,S12_1108,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium,-153.76000000000022,932912.8
564,10262,49,100.0,9,6567.96,6/24/2004 0:00,Cancelled,2,6,2004,Planes,157,S18_1662,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,1125.04,99193.86
